Brand,Description,Price
ZTE,"Axon elite Smart Mobile Phone - [32GB, 3 GB, Dual Back Camera - Ion Gold]",32883.0
ZTE,"Blade D3 Smart Mobile Phone - [8GB, 1GB - Yellow]",12125.0
ZTE,"Axon Mini Smart Mobile Phone - [32GB, 3GB - Rose Gold]",25123.0
ZTE,"ZTE Blade V7 lite Smart Mobile Phone [16GB, 2GB - Silver]",16868.0
ZTE,"ZTE Blade D3 Smart Mobile Phone - [8GB, 1GB - Silver]",12125.0
ZTE,"Blade S6 Smart Mobile Phone - [16GB, 2GB - Silver]",14055.0
ZTE,"Blade D2 Smart Mobile Phone [8GB, 1GB - Silver]",10660.0
ZTE,"Blade L5 Plus Smart Mobile Phone [8GB, 1GB - White]",9603.0
Apple,"iPhone 7 plus (32 GB ROM, 3 GB RAM) - Rose Gold",85000.0
Apple,"iPhone 7 plus (32GB ROM, 3 GB RAM) -  Gold",85000.0
Apple,"iPhone 6s (32GB ROM, 2 GB RAM)-  Silver",60000.0
Apple,"iPhone 6 (128 GB, 1 GB RAM) - Gold",55000.0
Micromax,Micromax Q3301 Android Smart Mobile Phone,5434.0
ZTE,Blade S7 (32GB) - Lemon Green,20000.0
ZTE,"Blade S7 (32GB,Diamond White)",20000.0
OBI,"MOILBE SF1 (2GB /16GB,Black) - [ smartphone / smart phone / mobile / mobiles ]",19499.0
OBI,"SF1 (32GB, Black) -[ smartphone / smart phone / mobile / mobiles ]",23699.0
Apple,"iPhone 7 (32 GB ROM, 2 GB RAM) - Gold",70000.0
Other,Otto Chekr Feature Mobile Phone,3496.0
OBI,"MOBILE MV1 (2GB/16GB, Black) Get Free Obi Bag - [ smartphone / smart phone / mobile / mobiles ]",15699.0
Oppo,"F1S (64GB, Gold) Android Smart Mobile Phone",31990.0
Other,Blackview BV6000 Green (16GB) - [ smartphone / smart phone / mobile / mobiles ],19995.0
Other,Blackview BV6000 Black (16GB) - [ smartphone / smart phone / mobile / mobiles ],19995.0
Other,Blackview BV5000 (16GB) Camouflage Green - [ smartphone / smart phone / mobile / mobiles ],14995.0
Other,Blackview BV5000 (16GB) Black - [ smartphone / smart phone / mobile / mobiles ],14995.0
Other,Blackview A5 (8GB)Black  - [ smartphone / smart phone / mobile / mobiles ],6995.0
Other,Blackview A5 (8GB)White - [ smartphone / smart phone / mobile / mobiles ],6995.0
Other,Blackview BV6000 Orange (16GB) - [ smartphone / smart phone / mobile / mobiles ],19995.0
Other,Blackview BV5000 (16GB) Orange - [ smartphone / smart phone / mobile / mobiles ],14995.0
Blackview,"Blackview A8 (8GB,Grey) - [ smartphone / smart phone / mobile / mobiles ]",8495.0
Other,"Blackview A5 (8GB,Blue)  - [ smartphone / smart phone / mobile / mobiles ]",6995.0
Lenovo,"Lenovo Vibe K4 Note Android (16GB, Black)",19949.0
Lenovo,"Lenovo Vibe K4 Note Android (16GB, White)",19949.0
Apple,"iPhone 7 [2GB RAM, 128GB ROM] - Black",95500.0
Xiaomi,MI 6 Android Smart Mobile Phone,52799.0
Xiaomi,"MI Note 2 Smart Mobile Phone [6GB RAM, 128GB ROM - Silver]",73920.0
Xiaomi,"Xiaomi Mi 5 (3GB RAM, 32GB ROM - White) - [ smartphone / smart phone / mobile / mobiles ]",38400.0
OnePlus,3T (64GB) Soft Gold - [ smartphone / smart phone / mobile / mobiles ],49000.0
Coolpad,"Coolpad Mega 3 (Trio SIM, 2GB RAM 16 GB, White) Android Smartphone",14526.0
Coolpad,"Cool 1 Smartphone - Gold (4GB RAM, 64 GB - Gold)",30996.0
Samsung,J7 2016 J710F Rose Gold - [Smartphone / smart phone / mobile / mobiles],20890.0
Samsung,Samsung J7 2016 J710F White - [Smartphone / smart phone / mobile / mobiles],20890.0
Huawei,"Huawei P10 Plus (64GB, Graphite Black) Android Smart Mobile Phone",76630.0
Huawei,"Huawei GR5 2017 (64 GB, Gold) Android Mobile Phone",34825.0
Huawei,"Huawei Y5II Smart Mobile Phone [1GB RAM, 8GB ROM - White]",11640.0
Microsoft,Microsoft Lumia 530 Double Sim (Orange),4999.0
Samsung,"Samsung J7 2016 J710F (16GB,White) - [Smartphone / smart phone / mobile / mobiles]",20450.0
Samsung,"Samsung J7 2016 J710F (16GB, Black) - [Smartphone / smart phone / mobile / mobiles]",20450.0
Samsung,Samsung Galaxy S7 Edge (Gold) (32GB) - [ smartphone / smart phone / mobile / mobiles ],68900.0
Samsung,J7 Prime (3 GB RAM/ Internal 16 GB)- Gold,25490.0
Samsung,Galaxy J1 2016 (1GB RAM  8GB internal Memory),10821.0
Lenovo,Lenovo k6Note,25000.0
Samsung,"J2 (8 GB ROM, 1 GB RAM)- White ",10650.0
Zopo,Flash X Plus- Gold,22500.0
Zopo,Color C3- Gold,12990.0
Other,Blackview E7s (16GB) - [ smartphone / smart phone / mobile / mobiles ],11995.0
Samsung,Samsung J1 Nxt Prime,8000.0
Samsung,"Galaxy J2 2016 (Black, 8GB) - [ smartphone / smart phone / mobile / mobiles ]",13290.0
Samsung,Samsung Galaxy On 7 PRO,14800.0
Nokia,Nokia Lumia 630 Black Windows Mobile Phone,8510.0
Apple,"iPhone 7 Plus (128 GB ROM, 3 GB RAM)- Red",119000.0
Nokia,Nokia Lumia 620 Windows Mobile Phone,13001.0
Samsung,"Galaxy J7 2015 (White, 16 GB) - [ smartphone / smart phone / mobile / mobiles ]",21900.0
